CustomerID,FirstName,LastName,Email,Address,City,PostalCode,RegistrationDate,LastLoginDate,CustomerSegment,DateOfBirth,Phone
C00001,Chelsea,Macdonald,chelsea.macdonald@yahoo.com,53315 Wallace Spurs Apt. 571,Port Harcourt,695494,5/26/2024,,VIP,2/26/1995,9074567463
C00002,Dean,Scott,dscott@outlook.com,"96030 Cruz Fords, Rivers",Port Harcourt,865924,12/21/2023,1/4/2025 18:51,standard,11/21/1983,8105943823
C00003,Sean,Brown,sean.brown@gmail.com,"2658 Montoya Vista, Lagos",Lagos,314272,12/2/2024,3/5/2025 17:49,standard,1/1/1900,9169283703
C00004,Kelly,Wright,kwright@yahoo.com,966 Thomas Square Suite 761,Kano,558844,2/12/2024,3/6/2025 3:43,Standard,3/28/1997,8265812270
C00005,Matthew,Jones,matthew.jones@iwantthis.com.ng,744 Hall Ranch,Abuja,863098,1/6/2024,8/31/2024 0:19,Silver,,
C00006,Jennifer,Parker,jparker@mail.ng,6451 Derrick Harbor,Port Harcourt,296781,2/15/2024,10/9/2024 0:16,New,7/13/1938,8249114737
C00007,Marilyn,Morgan,marilyn.morgan@mail.com,107 Sandoval Wall,Port Harcourt,895580,1/23/2024,,New,,8174612749
C00008,John,Crawford,john.crawford@yahoo.com,3682 Stephanie Cliffs,Port Harcourt,489506,4/29/2025,5/3/2025 13:45,Standard,1/1/1900,
C00009,Jennifer,Moreno,jennifer_moreno@mail.com,4438 Brown Passage Suite 793 ,Port Harcourt,780225,3/26/2024,11/6/2024 22:25,Standard,10/27/1967,7168367219
C00010,Rodney,Kirk,kirk.r@aol.com,2225 Meyers Island Suite 711,Port Harcourt,190391,1/21/2024,4/5/2025 8:21,Gold,8/26/1979,9020753091
C00011,Aaron,Mccormick,aaron_mccormick@gmail.com,"987 Mcgee Flat, Rivers",Port Harcourt,100903,6/28/2024,,Gold,,9022083371
C00012,Debra,Bird,debra.bird@mail.ng,65622 Smith Valley Apt. 540,Aba,461639,9/23/2024,4/27/2025 20:24,Platinum,3/25/1945,7178669059
C00013,Brandon,Stevenson,brandon.stevenson@yahoo.com,"2428 Lisa Causeway Apt. 636, Enugu",Enugu,553171,1/19/2025,2/3/2025 0:56,VIP,12/12/1993,8193874247
C00014,Christopher,Espinoza,christopherespinoza@aol.com,2694 David Views,Port Harcourt,672235,5/30/2024,7/30/2024 2:19,New,9/23/1975,8243846275
C00015,Jeremy,Barnes,jbarnes@mail.com,"4295 Stacey Via, Rivers",Port Harcourt,634319,8/19/2024,9/9/2024 3:27,Bronze,2/28/1978,8259831806
C00016,Paula,Moore,moore.p@workmail.com,"127 Nicole Mills Apt. 454, Delta",Warri,,5/22/2024,3/23/2025 15:30,,6/15/1937,9059348390
C00017,Stephanie,Mendez,mendez.s@mail.com,30186 Little Mews,Lagos,,7/12/2024,1/8/2025 22:15,New,11/21/1963,8237582160
C00018,Tina,Schmidt,tina.schmidt@hotmail.com, 374 Pamela Rapids Apt. 998,Port Harcourt,169389,5/16/2025,,Standard,,7025925823
C00019,Christopher,Holland,christopher.holland@yahoo.com,28658 Romero Drives,Lagos,897814,11/19/2024,2/7/2025 22:44,VIP,1/1/1900,9138864403
C00020,Lindsay,Gomez,lindsay_gomez@hotmail.com,5536 Santiago Ferry Apt. 780,Lagos,415842,11/1/2023,10/3/2024 13:09,Bronze,4/12/1942,7059237603
C00021,Tracy,Hernandez,thernandez@iwantthis.com.ng,763 Kelly Knoll,Port Harcourt,,8/1/2024,10/18/2024 10:20,Gold,1/1/1900,7183435423
C00022,Eric,Berry,eric.berry@beta.ng,1803 Freeman Brook Suite 526,Port Harcourt,244627,3/17/2025,3/22/2025 13:26,bronze,3/3/1945,
C00023,Rebecca,Silva,rsilva@techie.com,969 Hall Plaza,Port Harcourt,645346,1/30/2024,1/3/2025 4:14,VIP,10/26/1989,8163053709
C00024,Cesar,Stewart,cesar.stewart@mail.ng,5213 Amy Lane,Lagos,949833,1/20/2025,3/2/2025 19:50,,8/17/1948,9144042918
C00025,Kim,Howard,kimhoward@mail.com,"5129 Ferguson Forge, Lagos",Lagos,487675,2/21/2024,3/2/2024 21:34, Standard ,1/24/1967,8292910800
C00026,Victoria,Rice,victoria.rice@yahoo.com,"5000 Nelson Pine, FCT",Abuja,998134,3/29/2025,,Silver,1/1/1900,8004246487
C00027,Alfred,Miller,miller.a@gmail.com,671 Anthony Summit,Port Harcourt,842039,4/2/2024,1/30/2025 23:43,Silver,3/24/1999,7124313623
C00028,Anna,Bentley,annabentley@outlook.com,7359 Harvey Key Suite 468,Lagos,833009,4/7/2025,4/28/2025 10:18,Standard,10/27/2001,7001214638
C00029,Jennifer,Rice,jennifer_rice@techie.com,3825 Jennifer Mountain,Lagos,171849,11/28/2023,,standard,9/26/1960,
C00030,Linda,Brown,lindabrown@workmail.com,42054 Austin Mission,Abuja,330197,10/13/2024,3/29/2025 3:04,Gold,10/30/1993,8066908371
C00031,Luis,Stafford,luis_stafford@yahoo.com,2494 Derek Islands,Port Harcourt,196508,12/18/2023,2/8/2024 20:31,Platinum,1/1/1900,9054825901
C00032,Angela,Phillips,aphillips@hotmail.com,0568 Smith Courts,Port Harcourt,368288,8/2/2024,10/11/2024 2:24,standard,,8298089021
C00033,Valerie,Sanchez,valerie_sanchez@gmail.com,"249 Diaz Freeway, Lagos",Lagos,454706,2/26/2025,,Silver,2/8/1989,9064464424
C00034,Lisa,Bridges,lisa_bridges@aol.com,46324 Erika Groves,Port Harcourt,585579,9/12/2024,4/30/2025 11:25,Standard,11/6/1967,7029628549
C00035,Nancy,Carr,carr.n@yahoo.com,"63919 Lester Skyway Apt. 393, Rivers",Port Harcourt,190045,4/25/2025,,VIP,7/1/1943,8111220615
C00036,Robin,Frey,robin.frey@hotmail.com,"0117 Rhonda Locks Apt. 475, FCT",Abuja,410479,6/11/2024,8/10/2024 12:28,,1/12/1972,7020743503
C00037,Jamie,Kidd,jamiekidd@engineer.com,9510 Jason Locks Apt. 776,Lagos,310869,9/4/2024,,New,7/24/1960,9120587747
C00038,Tyler,Wilkins,tyler.wilkins@aol.com,44095 Dunn Curve Apt. 010,Port Harcourt,769907,3/6/2024,,VIP,3/6/1995,9080830025
C00039,Heather,Whitehead,heather_whitehead@aol.com,99382 Garcia Port,Port Harcourt,405930,1/13/2024,11/15/2024 22:48,VIP,1/1/1900,8053947364
C00040,Stephanie,Curry,stephanie.curry@hotmail.com,1384 Short Mills Apt. 743,Port Harcourt,683369,3/6/2025,4/6/2025 20:51,Platinum,1/1/1900,8284246829
C00041,Sara,Jones,sara_jones@engineer.com,"6753 Edwards Throughway, FCT",Abuja,933652,10/25/2023,8/10/2024 2:27,,3/24/1975,8018680043
C00042,Jonathon,Richard,richard.j@outlook.com,708 Karen Stravenue Apt. 058,Port Harcourt,210956,9/4/2024,,Silver,11/7/1975,
C00043,Dana,Martin,dana_martin@aol.com,93420 Nelson Village Apt. 905,Port Harcourt,183769,10/26/2024,5/3/2025 18:34,Standard,,9120610898
C00044,Jennifer,Young,jennifer.young@iwantthis.com.ng,596 Martinez Tunnel,Port Harcourt,889435,12/20/2024,3/5/2025 0:55,Gold,,
C00045,Joel,Mitchell,jmitchell@hotmail.com,"266 Catherine Glens Apt. 308, FCT",Abuja,646300,12/23/2024,,,5/5/1996,9014108572
C00046,Joseph,Flores,jflores@yahoo.com,76001 Shane Oval Apt. 144,Port Harcourt,494249,5/11/2025,,VIP,1/12/1965,7179863683
C00047,Sabrina,Cannon,sabrinacannon@yahoo.com,"20505 Mueller Stravenue, FCT",Abuja,910545,5/6/2024,3/20/2025 21:55,VIP,5/15/1947,9137109439
